year,flow
1871-01,1120.0
1872-01,1160.0
1873-01,963.0
1874-01,1210.0
1875-01,1160.0
1876-01,1160.0
1877-01,813.0
1878-01,1230.0
1879-01,1370.0
1880-01,1140.0
1881-01,995.0
1882-01,935.0
1883-01,1110.0
1884-01,994.0
1885-01,1020.0
1886-01,960.0
1887-01,1180.0
1888-01,799.0
1889-01,958.0
1890-01,1140.0
1891-01,1100.0
1892-01,1210.0
1893-01,1150.0
1894-01,1250.0
1895-01,1260.0
1896-01,1220.0
1897-01,1030.0
1898-01,1100.0
1899-01,774.0
1900-01,840.0
1901-01,874.0
1902-01,694.0
1903-01,940.0
1904-01,833.0
1905-01,701.0
1906-01,916.0
1907-01,692.0
1908-01,1020.0
1909-01,1050.0
1910-01,969.0
1911-01,831.0
1912-01,726.0
1913-01,456.0
1914-01,824.0
1915-01,702.0
1916-01,1120.0
1917-01,1100.0
1918-01,832.0
1919-01,764.0
1920-01,821.0
1921-01,768.0
1922-01,845.0
1923-01,864.0
1924-01,862.0
1925-01,698.0
1926-01,845.0
1927-01,744.0
1928-01,796.0
1929-01,1040.0
1930-01,759.0
1931-01,781.0
1932-01,865.0
1933-01,845.0
1934-01,944.0
1935-01,984.0
1936-01,897.0
1937-01,822.0
1938-01,1010.0
1939-01,771.0
1940-01,676.0
1941-01,649.0
1942-01,846.0
1943-01,812.0
1944-01,742.0
1945-01,801.0
1946-01,1040.0
1947-01,860.0
1948-01,874.0
1949-01,848.0
1950-01,890.0
1951-01,744.0
1952-01,749.0
1953-01,838.0
1954-01,1050.0
1955-01,918.0
1956-01,986.0
1957-01,797.0
1958-01,923.0
1959-01,975.0
1960-01,815.0
1961-01,1020.0
1962-01,906.0
1963-01,901.0
1964-01,1170.0
1965-01,912.0
1966-01,746.0
1967-01,919.0
1968-01,718.0
1969-01,714.0
1970-01,740.0