t,wpi,t,ln_wpi
1960-01-01,30.7,1960-01-01,3.4242628
1960-04-01,30.8,1960-04-01,3.4275146
1960-07-01,30.7,1960-07-01,3.4242628
1960-10-01,30.7,1960-10-01,3.4242628
1961-01-01,30.8,1961-01-01,3.4275146
1961-04-01,30.5,1961-04-01,3.4177268
1961-07-01,30.5,1961-07-01,3.4177268
1961-10-01,30.6,1961-10-01,3.421
1962-01-01,30.7,1962-01-01,3.4242628
1962-04-01,30.6,1962-04-01,3.421
1962-07-01,30.7,1962-07-01,3.4242628
1962-10-01,30.7,1962-10-01,3.4242628
1963-01-01,30.6,1963-01-01,3.421
1963-04-01,30.5,1963-04-01,3.4177268
1963-07-01,30.6,1963-07-01,3.421
1963-10-01,30.7,1963-10-01,3.4242628
1964-01-01,30.7,1964-01-01,3.4242628
1964-04-01,30.6,1964-04-01,3.421
1964-07-01,30.7,1964-07-01,3.4242628
1964-10-01,30.7,1964-10-01,3.4242628
1965-01-01,30.9,1965-01-01,3.430756
1965-04-01,31.2,1965-04-01,3.440418
1965-07-01,31.4,1965-07-01,3.4468079
1965-10-01,31.6,1965-10-01,3.4531572
1966-01-01,32.1,1966-01-01,3.468856
1966-04-01,32.2,1966-04-01,3.4719665
1966-07-01,32.6,1966-07-01,3.4843123
1966-10-01,32.4,1966-10-01,3.4781585
1967-01-01,32.3,1967-01-01,3.4750671
1967-04-01,32.3,1967-04-01,3.4750671
1967-07-01,32.4,1967-07-01,3.4781585
1967-10-01,32.5,1967-10-01,3.48124
1968-01-01,32.9,1968-01-01,3.4934728
1968-04-01,33.1,1968-04-01,3.4995332
1968-07-01,33.3,1968-07-01,3.5055573
1968-10-01,33.4,1968-10-01,3.508556
1969-01-01,33.9,1969-01-01,3.523415
1969-04-01,34.4,1969-04-01,3.5380566
1969-07-01,34.7,1969-07-01,3.5467398
1969-10-01,35.0,1969-10-01,3.5553482
1970-01-01,35.5,1970-01-01,3.5695326
1970-04-01,35.7,1970-04-01,3.5751507
1970-07-01,35.9,1970-07-01,3.5807374
1970-10-01,35.9,1970-10-01,3.5807374
1971-01-01,36.5,1971-01-01,3.5973122
1971-04-01,36.9,1971-04-01,3.6082115
1971-07-01,37.2,1971-07-01,3.6163087
1971-10-01,37.2,1971-10-01,3.6163087
1972-01-01,37.9,1972-01-01,3.634951
1972-04-01,38.3,1972-04-01,3.6454499
1972-07-01,38.8,1972-07-01,3.6584203
1972-10-01,39.2,1972-10-01,3.6686769
1973-01-01,41.1,1973-01-01,3.7160082
1973-04-01,43.1,1973-04-01,3.7635229
1973-07-01,44.9,1973-07-01,3.8044379
1973-10-01,45.3,1973-10-01,3.813307
1974-01-01,48.3,1974-01-01,3.8774316
1974-04-01,50.0,1974-04-01,3.912023
1974-07-01,53.6,1974-07-01,3.981549
1974-10-01,55.4,1974-10-01,4.01458
1975-01-01,55.4,1975-01-01,4.01458
1975-04-01,56.0,1975-04-01,4.0253515
1975-07-01,57.2,1975-07-01,4.046554
1975-10-01,57.8,1975-10-01,4.0569887
1976-01-01,58.1,1976-01-01,4.0621657
1976-04-01,59.0,1976-04-01,4.0775375
1976-07-01,59.7,1976-07-01,4.089332
1976-10-01,60.2,1976-10-01,4.0976725
1977-01-01,61.6,1977-01-01,4.1206617
1977-04-01,63.0,1977-04-01,4.1431346
1977-07-01,63.1,1977-07-01,4.1447206
1977-10-01,63.9,1977-10-01,4.1573195
1978-01-01,65.4,1978-01-01,4.1805224
1978-04-01,67.4,1978-04-01,4.210645
1978-07-01,68.4,1978-07-01,4.225373
1978-10-01,70.0,1978-10-01,4.248495
1979-01-01,72.5,1979-01-01,4.2835865
1979-04-01,75.1,1979-04-01,4.3188205
1979-07-01,77.4,1979-07-01,4.3489866
1979-10-01,80.2,1979-10-01,4.3845234
1980-01-01,83.9,1980-01-01,4.4296255
1980-04-01,85.6,1980-04-01,4.449685
1980-07-01,88.4,1980-07-01,4.481872
1980-10-01,90.4,1980-10-01,4.5042443
1981-01-01,93.1,1981-01-01,4.5336742
1981-04-01,95.2,1981-04-01,4.5559797
1981-07-01,95.9,1981-07-01,4.563306
1981-10-01,95.8,1981-10-01,4.5622625
1982-01-01,96.6,1982-01-01,4.5705786
1982-04-01,96.7,1982-04-01,4.5716133
1982-07-01,97.1,1982-07-01,4.5757413
1982-10-01,97.2,1982-10-01,4.576771
1983-01-01,97.3,1983-01-01,4.577799
1983-04-01,97.6,1983-04-01,4.5808773
1983-07-01,98.6,1983-07-01,4.591071
1983-10-01,99.1,1983-10-01,4.5961294
1984-01-01,100.2,1984-01-01,4.607168
1984-04-01,100.8,1984-04-01,4.613138
1984-07-01,100.6,1984-07-01,4.611152
1984-10-01,100.3,1984-10-01,4.6081657
1985-01-01,100.1,1985-01-01,4.6061697
1985-04-01,100.2,1985-04-01,4.607168
1985-07-01,99.5,1985-07-01,4.6001577
1985-10-01,100.1,1985-10-01,4.6061697
1986-01-01,98.6,1986-01-01,4.591071
1986-04-01,96.8,1986-04-01,4.572647
1986-07-01,96.3,1986-07-01,4.567468
1986-10-01,96.7,1986-10-01,4.5716133
1987-01-01,97.8,1987-01-01,4.582925
1987-04-01,99.4,1987-04-01,4.599152
1987-07-01,100.5,1987-07-01,4.6101575
1987-10-01,101.0,1987-10-01,4.6151204
1988-01-01,101.6,1988-01-01,4.6210437
1988-04-01,103.2,1988-04-01,4.6366687
1988-07-01,104.7,1988-07-01,4.651099
1988-10-01,105.2,1988-10-01,4.6558633
1989-01-01,107.5,1989-01-01,4.6774907
1989-04-01,109.4,1989-04-01,4.695011
1989-07-01,109.0,1989-07-01,4.691348
1989-10-01,109.4,1989-10-01,4.695011
1990-01-01,111.0,1990-01-01,4.7095304
1990-04-01,110.8,1990-04-01,4.707727
1990-07-01,112.8,1990-07-01,4.7256165
1990-10-01,116.2,1990-10-01,4.755313
